Catégorie : Toutes les catégories

Mois,upr: (France)
2007-03,4
2007-04,3
2007-05,5
2007-06,3
2007-07,4
2007-08,2
2007-09,4
2007-10,4
2007-11,5
2007-12,4
2008-01,2
2008-02,4
2008-03,3
2008-04,4
2008-05,4
2008-06,4
2008-07,5
2008-08,2
2008-09,4
2008-10,4
2008-11,4
2008-12,2
2009-01,3
2009-02,3
2009-03,3
2009-04,4
2009-05,4
2009-06,4
2009-07,4
2009-08,3
2009-09,3
2009-10,5
2009-11,3
2009-12,5
2010-01,5
2010-02,4
2010-03,4
2010-04,8
2010-05,6
2010-06,9
2010-07,6
2010-08,4
2010-09,6
2010-10,6
2010-11,8
2010-12,6
2011-01,7
2011-02,8
2011-03,8
2011-04,6
2011-05,7
2011-06,8
2011-07,7
2011-08,9
2011-09,11
2011-10,11
2011-11,13
2011-12,16
2012-01,15
2012-02,18
2012-03,23
2012-04,16
2012-05,15
2012-06,13
2012-07,14
2012-08,13
2012-09,15
2012-10,19
2012-11,19
2012-12,13
2013-01,15
2013-02,16
2013-03,19
2013-04,21
2013-05,18
2013-06,22
2013-07,18
2013-08,14
2013-09,15
2013-10,17
2013-11,18
2013-12,19
2014-01,24
2014-02,24
2014-03,28
2014-04,37
2014-05,88
2014-06,29
2014-07,23
2014-08,25
2014-09,42
2014-10,30
2014-11,27
2014-12,26
2015-01,33
2015-02,35
2015-03,35
2015-04,27
2015-05,29
2015-06,23
2015-07,31
2015-08,21
2015-09,30
2015-10,37
2015-11,62
2015-12,100
2016-01,29
2016-02,28
2016-03,29
2016-04,30
2016-05,30
2016-06,40
2016-07,41
2016-08,32
2016-09,35
2016-10,35
2016-11,56
2016-12,54
2017-01,57
