"jour";"nb_total"
"2007-03-25";28
"2007-03-26";28
"2007-03-27";28
"2007-03-28";28
"2007-03-29";28
"2007-03-30";28
"2007-03-31";28
"2007-04-01";28
"2007-04-02";28
"2007-04-03";28
"2007-04-04";28
"2007-04-05";28
"2007-04-06";28
"2007-04-07";28
"2007-04-08";28
"2007-04-09";28
"2007-04-10";28
"2007-04-11";28
"2007-04-12";28
"2007-04-13";28
"2007-04-14";28
"2007-04-15";28
"2007-04-16";28
"2007-04-17";28
"2007-04-18";28
"2007-04-19";28
"2007-04-20";29
"2007-04-21";29
"2007-04-22";29
"2007-04-23";29
"2007-04-24";29
"2007-04-25";29
"2007-04-26";29
"2007-04-27";29
"2007-04-28";29
"2007-04-29";29
"2007-04-30";29
"2007-05-01";30
"2007-05-02";30
"2007-05-03";30
"2007-05-04";30
"2007-05-05";30
"2007-05-06";30
"2007-05-07";30
"2007-05-08";30
"2007-05-09";30
"2007-05-10";30
"2007-05-11";30
"2007-05-12";30
"2007-05-13";30
"2007-05-14";30
"2007-05-15";30
"2007-05-16";30
"2007-05-17";30
"2007-05-18";30
"2007-05-19";30
"2007-05-20";30
"2007-05-21";31
"2007-05-22";31
"2007-05-23";31
"2007-05-24";31
"2007-05-25";31
"2007-05-26";31
"2007-05-27";31
"2007-05-28";31
"2007-05-29";31
"2007-05-30";31
"2007-05-31";31
"2007-06-01";31
"2007-06-02";31
"2007-06-03";31
"2007-06-04";32
"2007-06-05";32
"2007-06-06";32
"2007-06-07";32
"2007-06-08";32
"2007-06-09";32
"2007-06-10";32
"2007-06-11";32
"2007-06-12";32
"2007-06-13";32
"2007-06-14";34
"2007-06-15";34
"2007-06-16";34
"2007-06-17";34
"2007-06-18";34
"2007-06-19";34
"2007-06-20";34
"2007-06-21";34
"2007-06-22";35
"2007-06-23";35
"2007-06-24";35
"2007-06-25";35
"2007-06-26";35
"2007-06-27";35
"2007-06-28";35
"2007-06-29";35
"2007-06-30";35
"2007-07-01";35
"2007-07-02";35
"2007-07-03";35
"2007-07-04";35
"2007-07-05";35
"2007-07-06";35
"2007-07-07";35
"2007-07-08";35
"2007-07-09";35
"2007-07-10";35
"2007-07-11";35
"2007-07-12";35
"2007-07-13";35
"2007-07-14";35
"2007-07-15";35
"2007-07-16";35
"2007-07-17";35
"2007-07-18";35
"2007-07-19";35
"2007-07-20";35
"2007-07-21";35
"2007-07-22";35
"2007-07-23";35
"2007-07-24";35
"2007-07-25";35
"2007-07-26";35
"2007-07-27";35
"2007-07-28";35
"2007-07-29";35
"2007-07-30";35
"2007-07-31";35
"2007-08-01";35
"2007-08-02";35
"2007-08-03";35
"2007-08-04";35
"2007-08-05";35
"2007-08-06";35
"2007-08-07";35
"2007-08-08";35
"2007-08-09";35
"2007-08-10";35
"2007-08-11";35
"2007-08-12";35
"2007-08-13";35
"2007-08-14";35
"2007-08-15";35
"2007-08-16";35
"2007-08-17";35
"2007-08-18";35
"2007-08-19";35
"2007-08-20";35
"2007-08-21";35
"2007-08-22";35
"2007-08-23";35
"2007-08-24";35
"2007-08-25";35
"2007-08-26";35
"2007-08-27";35
"2007-08-28";35
"2007-08-29";35
"2007-08-30";35
"2007-08-31";35
"2007-09-01";35
"2007-09-02";35
"2007-09-03";35
"2007-09-04";35
"2007-09-05";35
"2007-09-06";35
"2007-09-07";35
"2007-09-08";35
"2007-09-09";35
"2007-09-10";35
"2007-09-11";35
"2007-09-12";35
"2007-09-13";35
"2007-09-14";35
"2007-09-15";35
"2007-09-16";35
"2007-09-17";35
"2007-09-18";35
"2007-09-19";35
"2007-09-20";36
"2007-09-21";36
"2007-09-22";36
"2007-09-23";36
"2007-09-24";36
"2007-09-25";36
"2007-09-26";36
"2007-09-27";36
"2007-09-28";37
"2007-09-29";37
"2007-09-30";37
"2007-10-01";37
"2007-10-02";37
"2007-10-03";37
"2007-10-04";37
"2007-10-05";37
"2007-10-06";37
"2007-10-07";38
"2007-10-08";38
"2007-10-09";38
"2007-10-10";38
"2007-10-11";38
"2007-10-12";38
"2007-10-13";38
"2007-10-14";38
"2007-10-15";38
"2007-10-16";38
"2007-10-17";38
"2007-10-18";38
"2007-10-19";38
"2007-10-20";38
"2007-10-21";38
"2007-10-22";38
"2007-10-23";38
"2007-10-24";38
"2007-10-25";38
"2007-10-26";38
"2007-10-27";38
"2007-10-28";38
"2007-10-29";38
"2007-10-30";38
"2007-10-31";38
"2007-11-01";38
"2007-11-02";38
"2007-11-03";38
"2007-11-04";38
"2007-11-05";38
"2007-11-06";38
"2007-11-07";38
"2007-11-08";38
"2007-11-09";38
"2007-11-10";38
"2007-11-11";38
"2007-11-12";38
"2007-11-13";38
"2007-11-14";38
"2007-11-15";41
"2007-11-16";41
"2007-11-17";41
"2007-11-18";41
"2007-11-19";41
"2007-11-20";43
"2007-11-21";43
"2007-11-22";43
"2007-11-23";43
"2007-11-24";43
"2007-11-25";43
"2007-11-26";44
"2007-11-27";44
"2007-11-28";44
"2007-11-29";44
"2007-11-30";46
"2007-12-01";48
"2007-12-02";48
"2007-12-03";48
"2007-12-04";48
"2007-12-05";48
"2007-12-06";48
"2007-12-07";48
"2007-12-08";48
"2007-12-09";48
"2007-12-10";48
"2007-12-11";48
"2007-12-12";48
"2007-12-13";48
"2007-12-14";48
"2007-12-15";48
"2007-12-16";48
"2007-12-17";48
"2007-12-18";48
"2007-12-19";48
"2007-12-20";48
"2007-12-21";48
"2007-12-22";48
"2007-12-23";48
"2007-12-24";48
"2007-12-25";48
"2007-12-26";48
"2007-12-27";48
"2007-12-28";48
"2007-12-29";48
"2007-12-30";48
"2007-12-31";48
"2008-01-01";49
"2008-01-02";49
"2008-01-03";49
"2008-01-04";49
"2008-01-05";49
"2008-01-06";49
"2008-01-07";49
"2008-01-08";49
"2008-01-09";49
"2008-01-10";49
"2008-01-11";49
"2008-01-12";49
"2008-01-13";49
"2008-01-14";49
"2008-01-15";49
"2008-01-16";49
"2008-01-17";49
"2008-01-18";49
"2008-01-19";49
"2008-01-20";49
"2008-01-21";49
"2008-01-22";49
"2008-01-23";49
"2008-01-24";49
"2008-01-25";49
"2008-01-26";49
"2008-01-27";49
"2008-01-28";49
"2008-01-29";50
"2008-01-30";50
"2008-01-31";50
"2008-02-01";50
"2008-02-02";50
"2008-02-03";50
"2008-02-04";50
"2008-02-05";50
"2008-02-06";50
"2008-02-07";50
"2008-02-08";50
"2008-02-09";50
"2008-02-10";50
"2008-02-11";50
"2008-02-12";50
"2008-02-13";50
"2008-02-14";50
"2008-02-15";50
"2008-02-16";50
"2008-02-17";50
"2008-02-18";50
"2008-02-19";50
"2008-02-20";50
"2008-02-21";51
"2008-02-22";51
"2008-02-23";51
"2008-02-24";51
"2008-02-25";51
"2008-02-26";51
"2008-02-27";51
"2008-02-28";51
"2008-02-29";51
"2008-03-01";51
"2008-03-02";51
"2008-03-03";51
"2008-03-04";51
"2008-03-05";51
"2008-03-06";51
"2008-03-07";51
"2008-03-08";51
"2008-03-09";51
"2008-03-10";51
"2008-03-11";51
"2008-03-12";51
"2008-03-13";51
"2008-03-14";51
"2008-03-15";51
"2008-03-16";51
"2008-03-17";51
"2008-03-18";51
"2008-03-19";51
"2008-03-20";52
"2008-03-21";52
"2008-03-22";52
"2008-03-23";52
"2008-03-24";52
"2008-03-25";52
"2008-03-26";52
"2008-03-27";52
"2008-03-28";52
"2008-03-29";52
"2008-03-30";52
"2008-03-31";53
"2008-04-01";53
"2008-04-02";53
"2008-04-03";53
"2008-04-04";53
"2008-04-05";53
"2008-04-06";53
"2008-04-07";53
"2008-04-08";53
"2008-04-09";53
"2008-04-10";53
"2008-04-11";53
"2008-04-12";53
"2008-04-13";53
"2008-04-14";53
"2008-04-15";53
"2008-04-16";53
"2008-04-17";53
"2008-04-18";53
"2008-04-19";54
"2008-04-20";54
"2008-04-21";54
"2008-04-22";54
"2008-04-23";54
"2008-04-24";55
"2008-04-25";55
"2008-04-26";55
"2008-04-27";55
"2008-04-28";55
"2008-04-29";55
"2008-04-30";55
"2008-05-01";55
"2008-05-02";55
"2008-05-03";55
"2008-05-04";55
"2008-05-05";55
"2008-05-06";55
"2008-05-07";55
"2008-05-08";55
"2008-05-09";55
"2008-05-10";55
"2008-05-11";55
"2008-05-12";55
"2008-05-13";55
"2008-05-14";55
"2008-05-15";55
"2008-05-16";55
"2008-05-17";55
"2008-05-18";55
"2008-05-19";55
"2008-05-20";55
"2008-05-21";55
"2008-05-22";55
"2008-05-23";55
"2008-05-24";55
"2008-05-25";56
"2008-05-26";57
"2008-05-27";57
"2008-05-28";57
"2008-05-29";57
"2008-05-30";58
"2008-05-31";59
"2008-06-01";60
"2008-06-02";60
"2008-06-03";60
"2008-06-04";60
"2008-06-05";60
"2008-06-06";60
"2008-06-07";60
"2008-06-08";60
"2008-06-09";60
"2008-06-10";60
"2008-06-11";60
"2008-06-12";60
"2008-06-13";60
"2008-06-14";60
"2008-06-15";60
"2008-06-16";60
"2008-06-17";60
"2008-06-18";61
"2008-06-19";61
"2008-06-20";61
"2008-06-21";61
"2008-06-22";61
"2008-06-23";61
"2008-06-24";61
"2008-06-25";61
"2008-06-26";61
"2008-06-27";61
"2008-06-28";61
"2008-06-29";61
"2008-06-30";61
"2008-07-01";61
"2008-07-02";61
"2008-07-03";61
"2008-07-04";61
"2008-07-05";61
"2008-07-06";61
"2008-07-07";61
"2008-07-08";61
"2008-07-09";61
"2008-07-10";61
"2008-07-11";61
"2008-07-12";61
"2008-07-13";61
"2008-07-14";61
"2008-07-15";61
"2008-07-16";61
"2008-07-17";61
"2008-07-18";61
"2008-07-19";61
"2008-07-20";61
"2008-07-21";61
"2008-07-22";61
"2008-07-23";61
"2008-07-24";61
"2008-07-25";62
"2008-07-26";62
"2008-07-27";62
"2008-07-28";62
"2008-07-29";62
"2008-07-30";62
"2008-07-31";62
"2008-08-01";62
"2008-08-02";62
"2008-08-03";62
"2008-08-04";62
"2008-08-05";62
"2008-08-06";62
"2008-08-07";62
"2008-08-08";62
"2008-08-09";62
"2008-08-10";62
"2008-08-11";62
"2008-08-12";62
"2008-08-13";62
"2008-08-14";62
"2008-08-15";62
"2008-08-16";62
"2008-08-17";62
"2008-08-18";62
"2008-08-19";62
"2008-08-20";62
"2008-08-21";62
"2008-08-22";62
"2008-08-23";62
"2008-08-24";62
"2008-08-25";62
"2008-08-26";62
"2008-08-27";62
"2008-08-28";62
"2008-08-29";62
"2008-08-30";62
"2008-08-31";62
"2008-09-01";62
"2008-09-02";62
"2008-09-03";62
"2008-09-04";62
"2008-09-05";62
"2008-09-06";62
"2008-09-07";62
"2008-09-08";62
"2008-09-09";62
"2008-09-10";62
"2008-09-11";62
"2008-09-12";62
"2008-09-13";62
"2008-09-14";62
"2008-09-15";62
"2008-09-16";62
"2008-09-17";62
"2008-09-18";62
"2008-09-19";62
"2008-09-20";62
"2008-09-21";62
"2008-09-22";62
"2008-09-23";62
"2008-09-24";62
"2008-09-25";62
"2008-09-26";62
"2008-09-27";62
"2008-09-28";62
"2008-09-29";62
"2008-09-30";62
"2008-10-01";62
"2008-10-02";62
"2008-10-03";62
"2008-10-04";62
"2008-10-05";62
"2008-10-06";62
"2008-10-07";62
"2008-10-08";62
"2008-10-09";62
"2008-10-10";62
"2008-10-11";62
"2008-10-12";62
"2008-10-13";62
"2008-10-14";62
"2008-10-15";62
"2008-10-16";62
"2008-10-17";62
"2008-10-18";62
"2008-10-19";62
"2008-10-20";62
"2008-10-21";62
"2008-10-22";62
"2008-10-23";62
"2008-10-24";62
"2008-10-25";62
"2008-10-26";62
"2008-10-27";62
"2008-10-28";62
"2008-10-29";62
"2008-10-30";62
"2008-10-31";62
"2008-11-01";63
"2008-11-02";63
"2008-11-03";63
"2008-11-04";63
"2008-11-05";63
"2008-11-06";63
"2008-11-07";63
"2008-11-08";63
"2008-11-09";63
"2008-11-10";63
"2008-11-11";63
"2008-11-12";63
"2008-11-13";63
