jour;nb_total
25/03/2007;28
26/03/2007;28
27/03/2007;28
28/03/2007;28
29/03/2007;28
30/03/2007;28
31/03/2007;28
01/04/2007;28
02/04/2007;28
03/04/2007;28
04/04/2007;28
05/04/2007;28
06/04/2007;28
07/04/2007;28
08/04/2007;28
09/04/2007;28
10/04/2007;28
11/04/2007;28
12/04/2007;28
13/04/2007;28
14/04/2007;28
15/04/2007;28
16/04/2007;28
17/04/2007;28
18/04/2007;28
19/04/2007;28
20/04/2007;29
21/04/2007;29
22/04/2007;29
23/04/2007;29
24/04/2007;29
25/04/2007;29
26/04/2007;29
27/04/2007;29
28/04/2007;29
29/04/2007;29
30/04/2007;29
01/05/2007;30
02/05/2007;30
03/05/2007;30
04/05/2007;30
05/05/2007;30
06/05/2007;30
07/05/2007;30
08/05/2007;30
09/05/2007;30
10/05/2007;30
11/05/2007;30
12/05/2007;30
13/05/2007;30
14/05/2007;30
15/05/2007;30
16/05/2007;30
17/05/2007;30
18/05/2007;30
19/05/2007;30
20/05/2007;30
21/05/2007;31
22/05/2007;31
23/05/2007;31
24/05/2007;31
25/05/2007;31
26/05/2007;31
27/05/2007;31
28/05/2007;31
29/05/2007;31
30/05/2007;31
31/05/2007;31
01/06/2007;31
02/06/2007;31
03/06/2007;31
04/06/2007;32
05/06/2007;32
06/06/2007;32
07/06/2007;32
08/06/2007;32
09/06/2007;32
10/06/2007;32
11/06/2007;32
12/06/2007;32
13/06/2007;32
14/06/2007;34
15/06/2007;34
16/06/2007;34
17/06/2007;34
18/06/2007;34
19/06/2007;34
20/06/2007;34
21/06/2007;34
22/06/2007;35
23/06/2007;35
24/06/2007;35
25/06/2007;35
26/06/2007;35
27/06/2007;35
28/06/2007;35
29/06/2007;35
30/06/2007;35
01/07/2007;35
02/07/2007;35
03/07/2007;35
04/07/2007;35
05/07/2007;35
06/07/2007;35
07/07/2007;35
08/07/2007;35
09/07/2007;35
10/07/2007;35
11/07/2007;35
12/07/2007;35
13/07/2007;35
14/07/2007;35
15/07/2007;35
16/07/2007;35
17/07/2007;35
18/07/2007;35
19/07/2007;35
20/07/2007;35
21/07/2007;35
22/07/2007;35
23/07/2007;35
